Nº;Gestión por;Contactado;Posibilidad;Visitado ABUVI;NOMBRE;Comunidad Autónoma;Provincia;Localidad / Municipio / Pueblo;Nombre;Empresa;Teléfono 1;Teléfono 2;WEB;WEB2;EMAIL;Observaciones 2025 2026;PRECIO;IVA;nº estancias;nº habitac;nº cabañas;nº tiendas;campa para tiendas;nº aparcamientos;menú adaptado ;Comedor cerrado;Piscina;Pista polideportiva;Pinar o similar en campa;Observaciones campa 24;Observaciones 23;Observaciones 25;Datos erroneos
20;Nacho / Marcos;0;SI;0;Campa. Talayuelas;Castilla La Mancha;CUENCA;Talayuelas;Nuria;0;963421457;629737509;https://campamentotalayuelas.es/;0;campamento@alberguebenageber.com;"son los mismos que (2) y me avisa que está reservado, Marcos: ""he contactado en octubre de 2025 y tendríamos sitio)";38 € albergue, 31 cabañitas y 26,4 tiendas nuestras;si;más de 300;6 habitaciones de 10 plazas, 6 de 4 plazas, ;7 con capacidad de 80 niños;para 150 plazas;si;para 60;si;si;si;si;si;0;(Hay un grupo que tiene que confirmar, pero si no estaríamos solos, ;0;0
21;Paco;0;0;si 2018?;EnCondemios;Castilla La Mancha;GUADALAJARA;Condemios de arriba;Raúl;0;659823373;635160811 / rober;https://www.encondemios.es/;0;campamentos@encondemios.es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6Oct22: en proceso de adjudiación ;0;0
22;Cristina;0;NO;0;Albuergue Navares;Castilla La Mancha;SEGOVIA;Navares de las Cuevas;0;0;0;0;https://alberguenavares.com/web/#primary;0;0;no se acopla a nuestras necesidades.... Es un poco secarral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7Oct: no tiene campa, y no posibilidad de tiendas;0;0
23;Nacho;45944;SI;llamar 15 dic;Campa. El Pielago;Castilla La Mancha;TOLEDO;Navamorcuende;Jesús;0;687734792;608014702;http://www.campamentoelpielago.com/;0;info@campamentoelpielago.com;Lo malo que tiene un festival todos los años hasta el 20 de agosto aprox. muy majete, nos conoce. En espera de 15 dic 2025 para cerrar con ese grupo. Comedor con capacidad para 220 pax. Menores 30 a a 25 + iva (27,5) y mayores 30a 30 iva.;32,68;NO;240;0;40;0;0;0;0;0;0;0;0;0;0;0;0
24;Nacho;0;no;0;Albeg Juv San Servando ;Castilla La Mancha;TOLEDO;Toledo;0;0;925224558;0;https://reaj.com/albergues/juvenil-castillo-de-san-servando/;0;alberguesclm@jccm.es;contestan por email que no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;Nacho;0;$;0;La casa de los forestales;Castilla La Mancha;TOLEDO;Villarrubia de los ojos;Alicia;0;925257314;0;https://lacasadelosforestales.com/instalaciones/;0;administracion@ocioyaventura.com;alicia.puebla@ocioyaventura.com;31;No;0;0;0;0;0;0;0;0;0;0;0;0;6Oct22: caro / 31€ día / NO MASCOTAS / email 3 oct 11:16;0;0
26;Nacho;0;0;0;11  CAMPAS JUVENILES-  tlfno. 923280289 // JUVENTUD COMUNIDAD CASTILLA LEON;Castilla y León;AVILA;Hoyo del espino;0;0;923280289;0;https://ayuntamientohoyosdelespino.es/campamentos-juveniles/;0;0;Ayuntamiento;0;0;0;no;no;0;0;0;0;0;0;0;0;"tlfno. 923280289
Para contactar y recabar información sobre posibles nuevas instalaciones.
 ";Ayuntamiento;0;0
27;Nacho;45945;0;0;Natu aventura;Castilla y León;AVILA;Piedralaves;Quique;0;917140636;0;https://natuaventura.com/;0;info@natuaventura.es;Enviado correo electrónico en su web.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Van a construir nueva finca en Piedralaves. email: enrique@natuaventura.es. Mandar requisitos por mail.;0;0
28;Nacho;45945;NO;0;Campamento Gredos;Castilla y León;AVILA;Sierra Gredos;0;0;607041865;689591357;Campamento Gredos ;0;grupo.campanavar@gmail.com;Llamar al Ayto. Navarredonda. La señora que atiende gestiona las instalaciones pero dice que la cocina solamente tiene una nevera y que el resto tiene que ponerlo ella. No hace campaamentos la segunda semana de agosto.  Comedor pequeño de 130 plazas.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Mercedes;Si;SI;si;Molino de Butrera;Castilla y León;BURGOS;Butrera;Patricia / Marcos (dueño);0;619955654;947131168;https://butrera.es/;0;Reservas@butrera.es;Molino@butrera.es  /    Pondría carpa cerrada con setas de calefacción;32 niño 37 adulto;NO;0;24;0;0;0;0;0;si;NO;0;0;0;0;0;0
30;Mercedes;Si;SI;si;Camp. Juv. Espinosa de los Monteros;Castilla y León;BURGOS;Espinosa de los monteros;Rosa / Leyre  / Sonia;0;605400951;947120006 / 947120449- / 947143660 ;https://sprintem.com/index.php/campamentoespinosadelosmonteros/;0;albergueespinosa@sprintem.com;Ayuntamiento;Albergue: mayores de edad 33 euros /dia. Menores 26 euros/dia.Suplemento baño en habitación 3 euros por pers/día. Bloque de cama (que se quede vacía en la habitación) +8,54. Menores de 3 años gratis. Tiendas: 25 euros/dia mayores de edad.20 euros /dia menores de edad.;0;0;80 capacidad;0;capacidad aprox 200;Sí;No hay problema;Con prescripción médica;Si, 230 ;Si, 2horas mañana, 2horas tarde;0;0;7Sept23: hablo con Leyre, me emplaza a la semana que viene. Remito email con info;Disponible;0;0
31;Aída;0;0;si;Camp Juv Boñar Puente Viejo;Castilla y León;LEON;Boñar;0;0;987735285;987296959;https://juventud.jcyl.es/web/jcyl/Juventud/es/Plantilla100Detalle/1284710993928/AlberguesJuveniles/1284167019168/Albergue;0;juventud.leon@jcyl.es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;Aída;0;si;0;Camp Juv Pola de Gordón;Castilla y León;LEON;Carbonera. Pola de Gordón;Rubén;0;621040878;691293272;https://www.arcotiempolibre.org/alojamientos/campamento-pola-de-gord%C3%B3n-le%C3%B3n;0;ajvillamaninypola@arcotiempolibre.org;https://www.arcotiempolibre.org/alojamientos/campamento-pola-de-gord%C3%B3n-le%C3%B3n;17,5;No;7 +8?;2 con baño + 3 habitaciones para 12 de 4 con baño completo + 1 cabaña para poder habilitar + 1 habilitar enfermería;Está proyectado meter cabañas con baño 50 / 60 plazas (7- 8 bungalows);0;0;Más de 45;si;si;si;si;0;0;175 plazas instaladas + 2 dormitorios dobles (con camas) con baño + 3 habitaciones con dos literas dobles (4por habitación) con baño completo.;0;Está proyectado meter cabañas con baño 50 / 60 plazas (7- 8 bungalows)
33;Aída;0;0;0;Camp Juv Otero de Cureño;Castilla y León;LEON;Otero de Curueño;0;0;987741134;987296044;https://juventud.jcyl.es/web/jcyl/Juventud/es/Plantilla100Detalle/1284710993928/AlberguesJuveniles/1284167019981/Albergue;0;juventud.leon@jcyl.es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;Aída;0;@;0;Laciana natura;Castilla y León;LEON;Villablino;Jesús;0;620287072;987036421;https://www.lacianatura.es/alojamiento;0;info@lacianatura.es;0;0;0;0;albergue 55 pers;18 cabañas de madera (9 de 4 plazas y 9 de 6 plazas);0;0;6oct22: Contesto a su email, quedo en llamar;0;0;0;0;0;0;0;0;0
35;Aída;0;0;si/ 2019?;campa Villamanin;Castilla y León;LEON;Villamanin;María / Rosa;0;687499306 Mª;607451582 Rosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;Paco;0;0;0;El guijo de Ávila;Castilla y León;SALAMANCA;El guijo de Ávila;Demetrio;0;665952317;0;https://www.guijodeavila.com/inicio/ ;0;0;0;28;No;0;0;24 (35Eur);0;0;0;0;solo para 100 (dos turnos);0;0;0;0;0;0;0
37;Paco;0;0;0;Complejo Aldea Duero;Castilla y León;SALAMANCA;Salto de Saucelle;0;0;609888736;0;0;0;0;0;60;No;0;0;26 casas rurales;0;0;0;0;0;0;0;0; Pedro: junto a la frontera de Portugal;0;0;0
38;Paco;0;NO;0;Camp Juv LA LEGORIZA;Castilla y León;SALAMANCA;San Martín del Castañar;0;0;923161071;923280294;https://juventud.jcyl.es/web/jcyl/Juventud/es/Plantilla100Detalle/1284710993928/AlberguesJuveniles/1284167020718/Albergue;https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/Tramite/1284917594764/Tramite;albergues.juveniles@jcyl.es;Ayuntamiento, es por ADJUDICACION pero el responsable dice que no tendríamos problemas para estar la segunda quincena. Jana dice que la solicitud es en diciembre yla resolución sería en enero. Mantienen disponibilidad casi asegurada.;20,1;Sí;200;10x2 pax;13x8 pax;22x5 pax;si;sí;0;Sí;Sí;0;Sí;0;convocatoria 22: https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/Tramite/1284917594764/Tramite ;https://www.castillayleonjoven.com/destacados/albergues-y-campamentos/item/download/65_5258be6d9273b1322f075e3836990243;0
39;Cristina;0;0;si 2023;El Colladito / Castillo de Castilnovo;Castilla y León;SEGOVIA;Castilnovo;Josan / Javi;0;629719314 //638662783;666093720 Javi coordinador;https://www.albergueyeventoselcolladito.com/;0;0;0;25;Si;32;0;1 (casa piramidal/ socorrista);30+2 (gigantes);si;si;si;para 200;si;si;si;0;7Nov23: Lo contratamos a través de Mónica // hemos estado este año. Campa de muchas hectáreas llegando a casi 200 abuvin@s en los días álgidos de visitas y sin ningún agobio. Muchas cuestas. Tiendas y colchones estupendos. El socorrista, negociamos en pagarlo a la mitad;0;0
40;Cristina;0;NO;0;0;Castilla y León;SEGOVIA;Navares de las Cuevas;0;0;630088758;0;https://alberguenavares.com/;0;info@alberguenavares.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;Cristina;0;0;0;Puerta del Campo;Castilla y León;SEGOVIA;San Ildefonso;0;0;650357670;921471861 / 62;https://puertadelcampo.es/;0;puertadelcampo@puertadelcampo.es;0;0;0;0;"22 cabañas de 8/10p
4 cabañas 4 p con baño";0;0;0;0;0;0;0;0;0;0;0;0;0
42;Cristina;0;0;0; CampamentoAlto del León;Castilla y León;SEGOVIA;San Rafael;0;0;921171324;675604197;http://campamentosyalbergues.com/campamento-alto-del-leon/;0;alberguecampa@arcinature.com;** rodaje peli LaLLamada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;** rodaje peli LaLLamada;0;0
43;Cristina;0;0;0;El Colladito /  Sierra del Guadarrama;Castilla y León;SEGOVIA;Sierra del Guadarrama;Josan / Javi;0;629719314 //638662783;666093720 Javi coordinador;https://www.albergueyeventoselcolladito.com/;0;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;7nov23: tienen varios (hicimos Castillo de Castilnovo).;0;0;0
44;Mercedes;0;0;0;Camp Juv Sotolengo;Castilla y León;SORIA;Abejar;0;0;983189108;975239768;https://juventud.jcyl.es/web/jcyl/Juventud/es/Plantilla100Detalle/1284710993928/AlberguesJuveniles/1284167024473/Albergue;Paraje Pinar Grande, s/n, 42149 Navaleno, Soria;info@rockcamp.es;https://www.rockcamp.es/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.rockcamp.es/;0;0
45;Mercedes;0;NO;0;"Campamento ""las cabañas""";Castilla y León;SORIA;Abejar;Pedro;0;975044117;627916107 - 620438488;https://soriaventura.com/pack/alquiler-instalaciones/;0;info@soriaventura.com;Son instalaciones separadas del camping Urbión. No están interesados en darnos servicio, lo trasladaron en llamada de primavera 2024. Alegan que ponemos demasiados requisitos;26,4;Si;17;2;15 (de 6 personas);0;si;100;0;0;NO (lago al lado);0;0;0;11oc22: tres hectareas / cocina / baños / ok a nuestras tiendas, caravanas,…/ si perros/. 5Nov22: van a cambiar las cabañas que tienen por 10-12 cabañas de 25 m2 diáfanas;0;0
46;Mercedes;0;0;si;Camp Juv Raso de la Nava;Castilla y León;SORIA;Covaleda;0;0;975370000;0;0;0;ayuntamiento@covaleda.es;Ayuntamiento;0;0;0;no;no;0;0;0;0;0;0;0;0;0;Ayuntamiento;0;0
47;Mercedes;0;NO;0;Camp Juv Cuerda del Pozo;Castilla y León;SORIA;0;0;0;975239721;975239812;https://juventud.jcyl.es/web/jcyl/Juventud/es/Plantilla100Detalle/1284710993928/AlberguesJuveniles/1284167028198/Albergue;0;juventud.soria@jcyl.es;Pequeño;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7oct22: las plazas es mediante convocatoria a mediados de diciembre. pequeño;0;0
48;Mercedes;0;NO;0;Aula de la naturaleza Emilio Hurtado;Castilla y León;SORIA;Duruelo;Javier Pulido;0;663086707;0;https://www.auladenaturalezaemiliohurtado.com/;0;aula.naturaleza@colegioelvalle.com;No están interesados. Tienen un grupo que llevan años viniendo la última semana de agosto y es incompatible;0;0;40 habitaciones aprox en albergue;(198 en habitación)- habitaciones de 4 a 8 camas;0;0;si;si;si;si (para 200P);si;si;(no cerca);0;14oct. (aneacamp)_: 8 hectarias, 5 aulas con audiovisuales, 14 catorce carpas para dar sombra. Un socarral;0;0
49;0;0;SI;45612;NATURCAMPA;Castilla y León;VALLADOLID;Matapozuelos;Víctor;Familiar;609681996;0;https://aulajoven.com/campamentos-de-verano/la-senda/;https://campa.es/instalaciones_naturcampa;vrosello@campa.es;Dueño: Víctor, pendiente de llamada. Cabañas de adobe, comedor de 200pax + 100pax. ALBERGUE CON 100 PLAZAS.  VISITA: Preferentemente entre semana pero tiene flexibilidad, avisar con una semana de antelación. ;29;SI;0;0;0;0;480.000 m2;antiguo zoo de Valladolid con parking;0;si;si;si;si;0;3x12 pax (apartos. con wc) + Albergue 100pax, wc  + Albergue pequeño 46pax (3x10 wc) + 20 chocos (4pax con wc). Lago para piragüas. También playa fluvial. CORRE: 175 PAX. ;0;0
50;Paco;0;convocatoria;si;"Camp Juv San Pedro de las Herrerías
";Castilla y León;ZAMORA;San Pedro de las herrerías;0;0;616001810;980161854;https://www.turma.es/instalaciones/campamento-de-san-pedro-de-las-herrerias/;0;albergues.juveniles@jcyl.es / sanpedro@turma.es / info@turma.es;convocatoria 22: https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/Tramite/1284917594764/Tramite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/Tramite/1284917594764/Tramite;0;0
51;Marcos;0;0;0;Cien lagos;Cataluña;Lérida;pirineo / Esterri d'Àneu;Juanjo ( era abuvino);0;629287629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;Marta;0;0;0;Campemento Mediterráneo;Comunidad Valenciana;CASTELLON;Oropesa;0;0;624556504;669735846  / 964297716;https://campamentosmediterraneo.es/;0;grupos@campamentosmediterraneo.es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;Marta;0;0;0; Centro De Naturaleza Tarihuela;Comunidad Valenciana;VALENCIA;Navajas;Salomé;0;633057539;690059204;https://www.tarihuela.com/contacto/;0;s.martinez@tarihuela.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;0;0;0;0;Centro Ed. Amb. Sangural;Extremadura;CACERES;Hervás;0;0;624251498;0;https://salugral.com/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;0;0;0;0;Camp. Juv. Valle del jerte;Extremadura;CACERES;Jerte;0;0;927014940;927014941;http://juventudextremadura.juntaex.es/web/albergue?codigo=9;0;ije.ip@juntaex.es;Ayuntamiento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ayuntamiento;0;0
56;0;0;0;0;La Aldea Juglar;Extremadura;CACERES;Jerte;Luis;0;679079998;927192865;https://aventuraparatodos.com/campamentos-familiares/;0;info@laaldeajuglar.com cabañas de madera baños compartidos (6) bungalows con baño (3) carpa con literas (1 - 2) más la posibilidad de instalar alguna carpa complenetaria, además de posibilidad de aumentar plazas en caso de de instalar algunas tiendas/caravanas.;0;20;No;11 + posiblidad de otras 5 carpas;0;0;0;0;0;0;0;0;https://aventuraparatodos.com/instalaciones/;0;0;7Oct22: quedo en llamarlos. 4nov22: dejo mensaje en el contestador. 9Nov22: mensaje contestador // 10Nov22: está junto el bosque - comedor de 100-110+ al lado personas + en el exterior hay algo techado 20-30 plazas (total capacidad) / 1 carpa con literas- luz de unas 20 plazas + 3 bungalows de 10 plazas con baño + 6 cabañas sin baño + posibilidad de otra sala con 10 plazas - pabellón duchas 5 baños y 5 duchas;0;https://aventuraparatodos.com/instalaciones/
57;0;0;no;@;Camp. Juv. Las Castellanas;Extremadura;CACERES;Pasarón de la Vega;0;0;927469049;927469015;0;0;culturaytopasaron@gmail.com;Ayuntamiento / maximo 80 personas;25;No;21;0;0;0;0;0;0;0;0;0;0;0;"13Oct22: fechas ocupadas  // email con información  lun, 10 oct22, 9:45
25personas)
·2 Bungalows de 7 plazas adaptadas a minusválidos (Rectangulares).
Contienen dos armarios y baño completo.14 personas
·2 Bungalows de 4 plazas (Circulares). Contienen 2 armarios y baño
completo. 8 personas.
·Cabañas del 1 al 5 de dos plazas. 10 personas
·Cabañas del 6 al 11 de 4 plazas 24 personas
·Parte nueva: Cabañas 12-13-14-15 y 16 de 4 plazas y Cabaña 17 de 3
plazas. Esta parte nueva tiene dos baños con dos servicios y dos duchas
cada uno en el mismo pasillo que las habitaciones. 23personas
Además está el Módulo de la Enfermería a la entrada en la izquierda con
una cama y el Módulo Central que consta de Comedor, Cocina,
Almacén y Aseo en la parte superior y de los Baños completos en la
parte de abajo junto a lavandería; Son dos uno para chicos y otro
para chicas con 5 duchas, 5 servicios y lavabos además de un baño
completo para minusválidos en cada uno. Estos baños de abajo serían
los que corresponden a las cabañas de la 1 a la 11.
Junto a la nave central hay una Sala de Actividades.
PRECIOS:
Se establece una fianza anticipada de 500€, en caso de anular con menos
de 15 días de antelación o si se produce un daño de las instalaciones de
forma no accidental, no se devolverá.
·El precio por una pensión completa con alojamiento, desayuno,
comida y cena es de 25€ + IVA 21% por persona y día. Incluye sábanas.
·Alquiler de instalación : 7,70 € por persona y pernoctación, incrementado
un 21 % en factura.
·Las sábanas se abonan aparte: 1€ por juego de sábanas entregado.(Sólo
para alquiler)
·Alojamiento y Desayuno 10€ + IVA 21%
·Media Pensión 15€+ IVA 21%";0;0
58;0;0;no;0;Albergue Valle de Ambroz;Extremadura;CACERES;Valle de Ambroz;0;0;927473292;0;https://www.alberguevalledelambroz.com/contacto/;0;info@alberguevalledelambroz.com;no se acopla a nuestras necesidades;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6Oc22: / extracaro??;0;0
59;0;0;0;2021;Natura 2000 / JERTE;Extremadura;CÁCERES;"Valdastillas
// Jerte";Salvador Vaquero;0;622856387;675267587;https://www.campamentosnatura2000.com/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;abuvi 2021;0;0
60;Jana;0;0;0;Camp xuvenil 'Furelos';Galicia;LA CORUÑA;Melide;0;0;981507412;0;http://xuventude.xunta.es/component/k2/item/11198-campamento-xuvenil-furelos-melide;0;0;Ayuntamiento/ Plazos tardíos para pedir en marzo;0;0;0;no;no;0;0;0;0;0;0;0;0;0;Ayuntamiento;0;0
61;Jana;0;no;0;Campamento Montecelo;Galicia;LA CORUÑA;Paderne;0;0;981782345;0;http://www.montecelo.org/montecelo-camp/;0;0;Plazos tardíos para pedir en marzo;0;0;0;SOLO HAB INDIVIDUALES;0;0;0;0;0;0;0;0;0;0;0;0;0
62;Jana;0;0;0;Albergue Equal;Galicia;OURENSE;Coles;0;0;669 25 72 83 • 651 452 026;988206353;https://www.centroequal.com/;0; info@centroequal.com;albergue con posibilidades pero sin espacio para tiendas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;albergue con posibilidades;0;0
63;Mercedes;Si;no;0;0;0;BURGOS;Pineda;Sonia;0;947241477;0;https://sprintem.com/index.php/alberguevalledelsol/;0;0;https://sprintem.com/index.php/alberguecasabernabe/#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6Oct22. No se nos adapta. sierra de la demanda. Es un albergue, no una instalación de campamento;0;0
